index,H_name,H_SUPER_PATHWAY,H_SUB_PATHWAY,BRCA_Tang#H_name,BRCA_Terunuma#H_name,COAD#H_name,DLBCL#H_name,GBM#H_name,HCC#H_name,LiCa1#H_name,LiCa2#H_name,OV#H_name,PDAC#H_name,PRAD#H_name,RC12#H_name,RC18Flow#H_name,RC18MR#H_name,RC20#H_name
(3'-5')-adenylylcytidine#Nucleotide#Dinucleotide,(3'-5')-adenylylcytidine,Nucleotide,Dinucleotide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(3'-5')-adenylylcytidine
(3'-5')-guanylyluridine#Nucleotide#Dinucleotide,(3'-5')-guanylyluridine,Nucleotide,Dinucleotide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(3'-5')-guanylyluridine
alanylleucine#Peptide#Dipeptide,alanylleucine,Peptide,Dipeptide,alanylleucine,alanylleucine,NA,alanylleucine,NA,alanylleucine,NA,NA,alanylleucine,alanylleucine,alanylleucine,alanylleucine,alanylleucine,alanylleucine,alanylleucine
alanylphenylalanine#Peptide#Dipeptide,alanylphenylalanine,Peptide,Dipeptide,alanylphenylalanine,NA,NA,alanylphenylalanine,NA,NA,NA,NA,alanylphenylalanine,alanylphenylalanine,alanylphenylalanine,alanylphenylalanine,NA,NA,NA
aspartylleucine#Peptide#Dipeptide,aspartylleucine,Peptide,Dipeptide,aspartylleucine,aspartylleucine,NA,aspartylleucine,NA,NA,NA,NA,aspartylleucine,NA,aspartylleucine,aspartylleucine,NA,NA,NA
aspartylphenylalanine#Peptide#Dipeptide,aspartylphenylalanine,Peptide,Dipeptide,aspartylphenylalanine,aspartylphenylalanine,NA,aspartylphenylalanine,NA,NA,NA,NA,aspartylphenylalanine,aspartylphenylalanine,aspartylphenylalanine,aspartylphenylalanine,NA,NA,NA
cysteinylglycine#Peptide#Dipeptide,cysteinylglycine,Peptide,Dipeptide,cysteinylglycine,NA,NA,cysteinylglycine,NA,cysteinylglycine,cysteinylglycine,cysteinylglycine,cysteinylglycine,NA,cysteinylglycine,cysteinylglycine,NA,NA,cysteinylglycine
glycylglycine#Peptide#Dipeptide,glycylglycine,Peptide,Dipeptide,glycylglycine,glycylglycine,glycylglycine,glycylglycine,NA,NA,NA,NA,glycylglycine,glycylglycine,NA,glycylglycine,NA,NA,NA
glycylisoleucine#Peptide#Dipeptide,glycylisoleucine,Peptide,Dipeptide,glycylisoleucine,NA,NA,glycylisoleucine,NA,NA,NA,NA,NA,glycylisoleucine,glycylisoleucine,glycylisoleucine,NA,NA,glycylisoleucine
glycylleucine#Peptide#Dipeptide,glycylleucine,Peptide,Dipeptide,glycylleucine,glycylleucine,NA,glycylleucine,NA,glycylleucine,NA,NA,glycylleucine,glycylleucine,glycylleucine,glycylleucine,glycylleucine,glycylleucine,glycylleucine
glycylphenylalanine#Peptide#Dipeptide,glycylphenylalanine,Peptide,Dipeptide,glycylphenylalanine,NA,NA,glycylphenylalanine,NA,NA,NA,NA,NA,NA,glycylphenylalanine,glycylphenylalanine,NA,NA,NA
glycylproline#Peptide#Dipeptide,glycylproline,Peptide,Dipeptide,glycylproline,glycylproline,NA,glycylproline,NA,NA,NA,NA,glycylproline,glycylproline,glycylproline,glycylproline,NA,NA,NA
glycylvaline#Peptide#Dipeptide,glycylvaline,Peptide,Dipeptide,glycylvaline,glycylvaline,NA,glycylvaline,NA,glycylvaline,NA,NA,NA,glycylvaline,NA,glycylvaline,NA,NA,glycylvaline
histidylleucine#Peptide#Dipeptide,histidylleucine,Peptide,Dipeptide,histidylleucine,histidylleucine,NA,histidylleucine,NA,NA,NA,NA,NA,NA,histidylleucine,histidylleucine,NA,NA,NA
isoleucylalanine#Peptide#Dipeptide,isoleucylalanine,Peptide,Dipeptide,isoleucylalanine,NA,NA,isoleucylalanine,NA,NA,NA,NA,isoleucylalanine,NA,NA,isoleucylalanine,NA,NA,NA
isoleucylglutamate#Peptide#Dipeptide,isoleucylglutamate,Peptide,Dipeptide,isoleucylglutamate,NA,NA,isoleucylglutamate,NA,NA,NA,NA,NA,NA,NA,isoleucylglutamate,NA,NA,NA
isoleucylglutamine#Peptide#Dipeptide,isoleucylglutamine,Peptide,Dipeptide,isoleucylglutamine,NA,NA,isoleucylglutamine,NA,NA,NA,NA,isoleucylglutamine,NA,NA,NA,NA,NA,NA
isoleucylserine#Peptide#Dipeptide,isoleucylserine,Peptide,Dipeptide,isoleucylserine,NA,NA,isoleucylserine,NA,NA,NA,NA,isoleucylserine,NA,isoleucylserine,isoleucylserine,NA,NA,NA
leucylalanine#Peptide#Dipeptide,leucylalanine,Peptide,Dipeptide,leucylalanine,NA,NA,leucylalanine,NA,leucylalanine,NA,NA,leucylalanine,NA,NA,leucylalanine,NA,NA,leucylalanine
leucylglutamate#Peptide#Dipeptide,leucylglutamate,Peptide,Dipeptide,leucylglutamate,leucylglutamate,NA,leucylglutamate,NA,NA,NA,NA,leucylglutamate,NA,leucylglutamate,leucylglutamate,NA,NA,NA
leucylglycine#Peptide#Dipeptide,leucylglycine,Peptide,Dipeptide,leucylglycine,NA,NA,leucylglycine,NA,leucylglycine,NA,NA,leucylglycine,NA,leucylglycine,leucylglycine,leucylglycine,leucylglycine,leucylglycine
leucylserine#Peptide#Dipeptide,leucylserine,Peptide,Dipeptide,leucylserine,NA,NA,leucylserine,NA,NA,NA,NA,leucylserine,NA,leucylserine,leucylserine,NA,NA,NA
methionylthreonine#Peptide#Dipeptide,methionylthreonine,Peptide,Dipeptide,methionylthreonine,NA,NA,methionylthreonine,NA,NA,NA,NA,NA,NA,methionylthreonine,NA,NA,NA,NA
methionylvaline#Peptide#Dipeptide,methionylvaline,Peptide,Dipeptide,methionylvaline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
phenylalanylserine#Peptide#Dipeptide,phenylalanylserine,Peptide,Dipeptide,phenylalanylserine,phenylalanylserine,NA,phenylalanylserine,NA,NA,NA,NA,phenylalanylserine,NA,phenylalanylserine,phenylalanylserine,NA,NA,NA
serylleucine#Peptide#Dipeptide,serylleucine,Peptide,Dipeptide,serylleucine,serylleucine,NA,serylleucine,NA,NA,NA,NA,serylleucine,NA,serylleucine,serylleucine,NA,NA,NA
serylphenyalanine#Peptide#Dipeptide,serylphenyalanine,Peptide,Dipeptide,serylphenyalanine,serylphenyalanine,NA,serylphenyalanine,NA,NA,NA,NA,serylphenyalanine,NA,NA,serylphenyalanine,NA,NA,NA
threonylleucine#Peptide#Dipeptide,threonylleucine,Peptide,Dipeptide,threonylleucine,NA,NA,threonylleucine,NA,NA,NA,NA,threonylleucine,NA,threonylleucine,threonylleucine,NA,NA,NA
threonylphenylalanine#Peptide#Dipeptide,threonylphenylalanine,Peptide,Dipeptide,threonylphenylalanine,NA,NA,threonylphenylalanine,NA,threonylphenylalanine,NA,NA,threonylphenylalanine,threonylphenylalanine,threonylphenylalanine,threonylphenylalanine,NA,NA,threonylphenylalanine
valylasparagine#Peptide#Dipeptide,valylasparagine,Peptide,Dipeptide,valylasparagine,NA,NA,valylasparagine,NA,NA,NA,NA,NA,NA,NA,valylasparagine,NA,NA,NA
valylglycine#Peptide#Dipeptide,valylglycine,Peptide,Dipeptide,valylglycine,NA,NA,valylglycine,NA,valylglycine,NA,NA,valylglycine,NA,NA,valylglycine,valylglycine,valylglycine,valylglycine
valylphenylalanine#Peptide#Dipeptide,valylphenylalanine,Peptide,Dipeptide,valylphenylalanine,NA,NA,valylphenylalanine,NA,NA,NA,NA,NA,NA,NA,valylphenylalanine,NA,NA,NA
valylserine#Peptide#Dipeptide,valylserine,Peptide,Dipeptide,valylserine,NA,NA,valylserine,NA,NA,NA,NA,NA,NA,NA,valylserine,NA,NA,NA
valylvaline#Peptide#Dipeptide,valylvaline,Peptide,Dipeptide,valylvaline,NA,NA,valylvaline,NA,NA,NA,NA,NA,NA,NA,valylvaline,NA,NA,NA
alanylhistidine#Peptide#Dipeptide,alanylhistidine,Peptide,Dipeptide,NA,alanylhistidine,NA,alanylhistidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pyroglutamylvaline#Peptide#Dipeptide,pyroglutamylvaline,Peptide,Dipeptide,NA,pyroglutamylvaline,NA,pyroglutamylvaline,NA,NA,NA,NA,NA,pyroglutamylvaline,pyroglutamylvaline,NA,NA,NA,NA
histidylisoleucine#Peptide#Dipeptide,histidylisoleucine,Peptide,Dipeptide,NA,histidylisoleucine,NA,histidylisoleucine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lysylleucine#Peptide#Dipeptide,lysylleucine,Peptide,Dipeptide,NA,lysylleucine,NA,NA,NA,NA,lysylleucine,lysylleucine,NA,NA,NA,lysylleucine,NA,NA,NA
isoleucylglycine#Peptide#Dipeptide,isoleucylglycine,Peptide,Dipeptide,NA,isoleucylglycine,NA,isoleucylglycine,NA,NA,NA,NA,isoleucylglycine,NA,isoleucylglycine,isoleucylglycine,NA,NA,isoleucylglycine
histidylleucine _dupl#Peptide#Dipeptide,histidylleucine _dupl,Peptide,Dipeptide,NA,histidylleucine _dupl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tyrosylleucine#Peptide#Dipeptide,tyrosylleucine,Peptide,Dipeptide,NA,tyrosylleucine,NA,NA,NA,NA,NA,NA,NA,NA,NA,tyrosylleucine,NA,NA,NA
tryptophylasparagine#Peptide#Dipeptide,tryptophylasparagine,Peptide,Dipeptide,NA,tryptophylasparagine,NA,NA,NA,NA,NA,NA,NA,NA,NA,tryptophylasparagine,NA,NA,NA
alanylalanine#Peptide#Dipeptide,alanylalanine,Peptide,Dipeptide,NA,NA,alanylalanine,alanylalanine,NA,NA,NA,NA,NA,NA,NA,alanylalanine,NA,NA,NA
asparagylisoleucine#Peptide#Dipeptide,asparagylisoleucine,Peptide,Dipeptide,NA,NA,NA,asparagylisoleucine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asparagylleucine#Peptide#Dipeptide,asparagylleucine,Peptide,Dipeptide,NA,NA,NA,asparagylleucine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
glycyltyrosine#Peptide#Dipeptide,glycyltyrosine,Peptide,Dipeptide,NA,NA,NA,glycyltyrosine,NA,NA,NA,NA,NA,NA,glycyltyrosine,glycyltyrosine,NA,NA,NA
isoleucylthreonine#Peptide#Dipeptide,isoleucylthreonine,Peptide,Dipeptide,NA,NA,NA,isoleucylthreonine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
leucylleucine#Peptide#Dipeptide,leucylleucine,Peptide,Dipeptide,NA,NA,NA,leucylleucine,NA,NA,NA,NA,leucylleucine,leucylleucine,leucylleucine,leucylleucine,NA,NA,NA
leucylthreonine#Peptide#Dipeptide,leucylthreonine,Peptide,Dipeptide,NA,NA,NA,leucylthreonine,NA,NA,NA,NA,NA,NA,leucylthreonine,NA,NA,NA,NA
phenylalanylglutamate#Peptide#Dipeptide,phenylalanylglutamate,Peptide,Dipeptide,NA,NA,NA,phenylalanylglutamate,NA,NA,NA,NA,NA,NA,NA,phenylalanylglutamate,NA,NA,NA
phenylalanylglycine#Peptide#Dipeptide,phenylalanylglycine,Peptide,Dipeptide,NA,NA,NA,phenylalanylglycine,NA,phenylalanylglycine,NA,NA,phenylalanylglycine,NA,NA,phenylalanylglycine,phenylalanylglycine,phenylalanylglycine,phenylalanylglycine
phenylalanylhistidine#Peptide#Dipeptide,phenylalanylhistidine,Peptide,Dipeptide,NA,NA,NA,phenylalanylhistidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prolylglutamate#Peptide#Dipeptide,prolylglutamate,Peptide,Dipeptide,NA,NA,NA,prolylglutamate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prolylleucine#Peptide#Dipeptide,prolylleucine,Peptide,Dipeptide,NA,NA,NA,prolylleucine,NA,NA,NA,NA,NA,prolylleucine,NA,NA,NA,NA,NA
prolylthreonine#Peptide#Dipeptide,prolylthreonine,Peptide,Dipeptide,NA,NA,NA,prolylthreonine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
serylisoleucine*#Peptide#Dipeptide,serylisoleucine*,Peptide,Dipeptide,NA,NA,NA,serylisoleucine*,NA,NA,NA,NA,NA,NA,NA,serylisoleucine*,NA,NA,NA
tyrosylglycine#Peptide#Dipeptide,tyrosylglycine,Peptide,Dipeptide,NA,NA,NA,tyrosylglycine,NA,tyrosylglycine,NA,NA,tyrosylglycine,NA,tyrosylglycine,tyrosylglycine,tyrosylglycine,tyrosylglycine,tyrosylglycine
valylmethionine#Peptide#Dipeptide,valylmethionine,Peptide,Dipeptide,NA,NA,NA,valylmethionine,NA,NA,NA,NA,NA,NA,NA,valylmethionine,NA,NA,NA
valylthreonine#Peptide#Dipeptide,valylthreonine,Peptide,Dipeptide,NA,NA,NA,valylthreonine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alanylglycine#Peptide#Dipeptide,alanylglycine,Peptide,Dipeptide,NA,NA,NA,alanylglycine,NA,NA,NA,NA,NA,alanylglycine,NA,alanylglycine,NA,NA,NA
alanylvaline#Peptide#Dipeptide,alanylvaline,Peptide,Dipeptide,NA,NA,NA,alanylvaline,NA,NA,NA,NA,NA,alanylvaline,alanylvaline,alanylvaline,NA,NA,NA
alpha-glutamylglutamate#Peptide#Dipeptide,alpha-glutamylglutamate,Peptide,Dipeptide,NA,NA,NA,alpha-glutamylglutamate,NA,NA,NA,NA,NA,alpha-glutamylglutamate,NA,alpha-glutamylglutamate,NA,NA,NA
arginylisoleucine#Peptide#Dipeptide,arginylisoleucine,Peptide,Dipeptide,NA,NA,NA,arginylisoleucine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arginylphenylalanine#Peptide#Dipeptide,arginylphenylalanine,Peptide,Dipeptide,NA,NA,NA,arginylphenylalanine,NA,NA,NA,NA,arginylphenylalanine,NA,NA,arginylphenylalanine,NA,NA,NA
aspartate-glutamate#Peptide#Dipeptide,aspartate-glutamate,Peptide,Dipeptide,NA,NA,NA,aspartate-glutamate,NA,NA,NA,NA,NA,aspartate-glutamate,NA,aspartate-glutamate,NA,NA,NA
isoleucylisoleucine#Peptide#Dipeptide,isoleucylisoleucine,Peptide,Dipeptide,NA,NA,NA,isoleucylisoleucine,NA,NA,NA,NA,NA,isoleucylisoleucine,isoleucylisoleucine,isoleucylisoleucine,NA,NA,NA
isoleucylleucine#Peptide#Dipeptide,isoleucylleucine,Peptide,Dipeptide,NA,NA,NA,isoleucylleucine,NA,NA,NA,NA,NA,isoleucylleucine,NA,NA,NA,NA,NA
leucylarginine#Peptide#Dipeptide,leucylarginine,Peptide,Dipeptide,NA,NA,NA,leucylarginine,NA,NA,NA,NA,NA,NA,NA,leucylarginine,NA,NA,NA
phenylalanylalanine#Peptide#Dipeptide,phenylalanylalanine,Peptide,Dipeptide,NA,NA,NA,phenylalanylalanine,NA,phenylalanylalanine,phenylalanylalanine,phenylalanylalanine,phenylalanylalanine,NA,NA,phenylalanylalanine,NA,NA,phenylalanylalanine
phenylalanylaspartate#Peptide#Dipeptide,phenylalanylaspartate,Peptide,Dipeptide,NA,NA,NA,phenylalanylaspartate,NA,NA,NA,NA,phenylalanylaspartate,NA,NA,phenylalanylaspartate,NA,NA,NA
phenylalanylleucine#Peptide#Dipeptide,phenylalanylleucine,Peptide,Dipeptide,NA,NA,NA,phenylalanylleucine,NA,NA,NA,NA,phenylalanylleucine,NA,NA,phenylalanylleucine,NA,NA,NA
prolylalanine#Peptide#Dipeptide,prolylalanine,Peptide,Dipeptide,NA,NA,NA,prolylalanine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prolylglycine#Peptide#Dipeptide,prolylglycine,Peptide,Dipeptide,NA,NA,NA,prolylglycine,NA,prolylglycine,NA,NA,prolylglycine,NA,NA,prolylglycine,prolylglycine,prolylglycine,prolylglycine
serylvaline#Peptide#Dipeptide,serylvaline,Peptide,Dipeptide,NA,NA,NA,serylvaline,NA,NA,NA,NA,NA,NA,NA,serylvaline,NA,NA,NA
threonylvaline#Peptide#Dipeptide,threonylvaline,Peptide,Dipeptide,NA,NA,NA,threonylvaline,NA,NA,NA,NA,NA,NA,NA,threonylvaline,NA,NA,NA
tyrosylglutamate#Peptide#Dipeptide,tyrosylglutamate,Peptide,Dipeptide,NA,NA,NA,tyrosylglutamate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tyrosylhistidine#Peptide#Dipeptide,tyrosylhistidine,Peptide,Dipeptide,NA,NA,NA,tyrosylhistidine,NA,NA,NA,NA,NA,NA,NA,tyrosylhistidine,NA,NA,NA
valylalanine#Peptide#Dipeptide,valylalanine,Peptide,Dipeptide,NA,NA,NA,valylalanine,NA,NA,NA,NA,valylalanine,NA,NA,valylalanine,NA,NA,NA
valylaspartate#Peptide#Dipeptide,valylaspartate,Peptide,Dipeptide,NA,NA,NA,valylaspartate,NA,NA,NA,NA,valylaspartate,NA,NA,valylaspartate,NA,NA,NA
valylglutamate#Peptide#Dipeptide,valylglutamate,Peptide,Dipeptide,NA,NA,NA,valylglutamate,NA,NA,NA,NA,NA,NA,NA,valylglutamate,NA,NA,NA
valylglutamine#Peptide#Dipeptide,valylglutamine,Peptide,Dipeptide,NA,NA,NA,valylglutamine,NA,valylglutamine,NA,NA,NA,NA,NA,valylglutamine,NA,NA,valylglutamine
valylhistidine#Peptide#Dipeptide,valylhistidine,Peptide,Dipeptide,NA,NA,NA,valylhistidine,NA,NA,NA,NA,NA,NA,valylhistidine,valylhistidine,NA,NA,NA
valylisoleucine#Peptide#Dipeptide,valylisoleucine,Peptide,Dipeptide,NA,NA,NA,valylisoleucine,NA,NA,NA,NA,NA,NA,NA,valylisoleucine,NA,NA,NA
valylleucine#Peptide#Dipeptide,valylleucine,Peptide,Dipeptide,NA,NA,NA,valylleucine,NA,valylleucine,NA,NA,valylleucine,NA,NA,valylleucine,NA,NA,valylleucine
alanylasparagine#Peptide#Dipeptide,alanylasparagine,Peptide,Dipeptide,NA,NA,NA,alanylasparagine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alanyltryptophan#Peptide#Dipeptide,alanyltryptophan,Peptide,Dipeptide,NA,NA,NA,alanyltryptophan,NA,NA,NA,NA,NA,NA,NA,alanyltryptophan,NA,NA,NA
alpha-glutamylalanine#Peptide#Dipeptide,alpha-glutamylalanine,Peptide,Dipeptide,NA,NA,NA,alpha-glutamylalanine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alpha-glutamyltyrosine#Peptide#Dipeptide,alpha-glutamyltyrosine,Peptide,Dipeptide,NA,NA,NA,alpha-glutamyltyrosine,NA,NA,NA,NA,alpha-glutamyltyrosine,NA,NA,alpha-glutamyltyrosine,NA,NA,NA
glutamine-leucine#Peptide#Dipeptide,glutamine-leucine,Peptide,Dipeptide,NA,NA,NA,glutamine-leucine,NA,glutamine-leucine,NA,NA,NA,NA,glutamine-leucine,NA,NA,NA,NA
glycyllysine#Peptide#Dipeptide,glycyllysine,Peptide,Dipeptide,NA,NA,NA,glycyllysine,NA,NA,NA,NA,NA,NA,NA,glycyllysine,NA,NA,NA
glycylthreonine#Peptide#Dipeptide,glycylthreonine,Peptide,Dipeptide,NA,NA,NA,glycylthreonine,NA,NA,NA,NA,NA,NA,NA,glycylthreonine,NA,NA,NA
isoleucylphenylalanine#Peptide#Dipeptide,isoleucylphenylalanine,Peptide,Dipeptide,NA,NA,NA,isoleucylphenylalanine,NA,NA,NA,NA,isoleucylphenylalanine,NA,NA,isoleucylphenylalanine,NA,NA,NA
isoleucyltyrosine#Peptide#Dipeptide,isoleucyltyrosine,Peptide,Dipeptide,NA,NA,NA,isoleucyltyrosine,NA,NA,NA,NA,NA,NA,NA,isoleucyltyrosine,NA,NA,NA
leucylaspartate#Peptide#Dipeptide,leucylaspartate,Peptide,Dipeptide,NA,NA,NA,leucylaspartate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
leucylisoleucine#Peptide#Dipeptide,leucylisoleucine,Peptide,Dipeptide,NA,NA,NA,leucylisoleucine,NA,NA,NA,NA,NA,leucylisoleucine,NA,NA,NA,NA,NA
leucylphenylalanine#Peptide#Dipeptide,leucylphenylalanine,Peptide,Dipeptide,NA,NA,NA,leucylphenylalanine,NA,NA,NA,NA,NA,NA,NA,leucylphenylalanine,NA,NA,NA
lysylvaline#Peptide#Dipeptide,lysylvaline,Peptide,Dipeptide,NA,NA,NA,lysylvaline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
methionylglycine#Peptide#Dipeptide,methionylglycine,Peptide,Dipeptide,NA,NA,NA,methionylglycine,NA,NA,NA,NA,NA,NA,NA,methionylglycine,NA,NA,NA
methionylserine#Peptide#Dipeptide,methionylserine,Peptide,Dipeptide,NA,NA,NA,methionylserine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
phenylalanylarginine#Peptide#Dipeptide,phenylalanylarginine,Peptide,Dipeptide,NA,NA,NA,phenylalanylarginine,NA,NA,NA,NA,NA,NA,NA,phenylalanylarginine,NA,NA,NA
serylmethionine#Peptide#Dipeptide,serylmethionine,Peptide,Dipeptide,NA,NA,NA,serylmethionine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
seryltyrosine#Peptide#Dipeptide,seryltyrosine,Peptide,Dipeptide,NA,NA,NA,seryltyrosine,NA,NA,NA,NA,NA,NA,seryltyrosine,NA,NA,NA,NA
threonylglutamate#Peptide#Dipeptide,threonylglutamate,Peptide,Dipeptide,NA,NA,NA,threonylglutamate,NA,NA,NA,NA,NA,NA,threonylglutamate,threonylglutamate,NA,NA,NA
threonylisoleucine#Peptide#Dipeptide,threonylisoleucine,Peptide,Dipeptide,NA,NA,NA,threonylisoleucine,NA,NA,NA,NA,NA,NA,threonylisoleucine,NA,NA,NA,NA
tyrosylarginine#Peptide#Dipeptide,tyrosylarginine,Peptide,Dipeptide,NA,NA,NA,tyrosylarginine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
valyltyrosine#Peptide#Dipeptide,valyltyrosine,Peptide,Dipeptide,NA,NA,NA,valyltyrosine,NA,NA,NA,NA,NA,NA,NA,valyltyrosine,NA,NA,NA
leucylglutamine*#Peptide#Dipeptide,leucylglutamine*,Peptide,Dipeptide,NA,NA,NA,NA,NA,leucylglutamine*,NA,NA,NA,NA,NA,NA,NA,NA,leucylglutamine*
tryptophylglycine#Peptide#Dipeptide,tryptophylglycine,Peptide,Dipeptide,NA,NA,NA,NA,NA,tryptophylglycine,NA,NA,NA,NA,NA,NA,NA,NA,tryptophylglycine
aspartylvaline#Peptide#Dipeptide,aspartylvaline,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,aspartylvaline,NA,NA,aspartylvaline,NA,NA,NA
isoleucylmethionine#Peptide#Dipeptide,isoleucylmethionine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,isoleucylmethionine,NA,NA,isoleucylmethionine,NA,NA,NA
leucylmethionine#Peptide#Dipeptide,leucylmethionine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,leucylmethionine,NA,NA,leucylmethionine,NA,NA,NA
methionylleucine#Peptide#Dipeptide,methionylleucine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,methionylleucine,NA,NA,methionylleucine,NA,NA,NA
methionylphenylalanine#Peptide#Dipeptide,methionylphenylalanine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,methionylphenylalanine,NA,methionylphenylalanine,methionylphenylalanine,NA,NA,NA
alanylisoleucine#Peptide#Dipeptide,alanylisoleucine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,alanylisoleucine,NA,alanylisoleucine,NA,NA,NA
alanyltyrosine#Peptide#Dipeptide,alanyltyrosine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,alanyltyrosine,alanyltyrosine,alanyltyrosine,NA,NA,NA
glycyltryptophan#Peptide#Dipeptide,glycyltryptophan,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,glycyltryptophan,NA,glycyltryptophan,NA,NA,NA
glutamine-isoleucine#Peptide#Dipeptide,glutamine-isoleucine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glutamine-isoleucine,NA,NA,NA,NA
tryptophylalanine#Peptide#Dipeptide,tryptophylalanine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tryptophylalanine,NA,NA,NA,NA
aspartylglycine#Peptide#Dipeptide,aspartylglycine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aspartylglycine,NA,NA,NA,NA
pyroglutamylglycine#Peptide#Dipeptide,pyroglutamylglycine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pyroglutamylglycine,NA,NA,NA,NA
alanylglutamate#Peptide#Dipeptide,alanylglutamate,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alanylglutamate,NA,NA,NA
alanylmethionine#Peptide#Dipeptide,alanylmethionine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alanylmethionine,NA,NA,NA
alanylthreonine#Peptide#Dipeptide,alanylthreonine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alanylthreonine,NA,NA,NA
alpha-glutamyltryptophan#Peptide#Dipeptide,alpha-glutamyltryptophan,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alpha-glutamyltryptophan,NA,NA,NA
arginylleucine#Peptide#Dipeptide,arginylleucine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arginylleucine,NA,NA,NA
arginylmethionine#Peptide#Dipeptide,arginylmethionine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arginylmethionine,NA,NA,NA
arginyltyrosine#Peptide#Dipeptide,arginyltyrosine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arginyltyrosine,NA,NA,NA
arginylvaline#Peptide#Dipeptide,arginylvaline,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arginylvaline,NA,NA,NA
aspartyltryptophan#Peptide#Dipeptide,aspartyltryptophan,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aspartyltryptophan,NA,NA,NA
glycylmethionine#Peptide#Dipeptide,glycylmethionine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glycylmethionine,NA,NA,NA
histidylmethionine#Peptide#Dipeptide,histidylmethionine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,histidylmethionine,NA,NA,NA
histidylphenylalanine#Peptide#Dipeptide,histidylphenylalanine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,histidylphenylalanine,NA,NA,NA
histidyltryptophan#Peptide#Dipeptide,histidyltryptophan,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,histidyltryptophan,NA,NA,NA
histidyltyrosine#Peptide#Dipeptide,histidyltyrosine,Peptide,Dipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,histidyltyrosine,NA,NA,NA
