index,H_name,H_SUPER_PATHWAY,H_SUB_PATHWAY,BRCA_Tang#H_name,BRCA_Terunuma#H_name,COAD#H_name,DLBCL#H_name,GBM#H_name,HCC#H_name,LiCa1#H_name,LiCa2#H_name,OV#H_name,PDAC#H_name,PRAD#H_name,RC12#H_name,RC18Flow#H_name,RC18MR#H_name,RC20#H_name
1-palmitoyl-GPS (16:0)*#Lipid#Lysophospholipid,1-palmitoyl-GPS (16:0)*,Lipid,Lysophospholipid,NA,NA,NA,1-palmitoyl-GPS (16:0)*,NA,NA,NA,NA,NA,NA,NA,NA,1-palmitoyl-GPS (16:0)*,1-palmitoyl-GPS (16:0)*,1-palmitoyl-GPS (16:0)*
1-linoleoyl-GPE (18:2)*#Lipid#Lysophospholipid,1-linoleoyl-GPE (18:2)*,Lipid,Lysophospholipid,NA,NA,NA,NA,NA,1-linoleoyl-GPE (18:2)*,NA,NA,NA,NA,NA,NA,1-linoleoyl-GPE (18:2)*,1-linoleoyl-GPE (18:2)*,1-linoleoyl-GPE (18:2)*
1-linoleoyl-GPG (18:2)*#Lipid#Lysophospholipid,1-linoleoyl-GPG (18:2)*,Lipid,Lysophospholipid,NA,NA,NA,NA,NA,1-linoleoyl-GPG (18:2)*,NA,NA,NA,NA,NA,NA,1-linoleoyl-GPG (18:2)*,1-linoleoyl-GPG (18:2)*,1-linoleoyl-GPG (18:2)*
1-oleoyl-GPC (18:1)#Lipid#Lysophospholipid,1-oleoyl-GPC (18:1),Lipid,Lysophospholipid,NA,NA,NA,NA,NA,1-oleoyl-GPC (18:1),NA,NA,NA,NA,NA,NA,1-oleoyl-GPC (18:1),1-oleoyl-GPC (18:1),1-oleoyl-GPC (18:1)
1-stearoyl-GPE (18:0)#Lipid#Lysophospholipid,1-stearoyl-GPE (18:0),Lipid,Lysophospholipid,NA,NA,NA,NA,NA,1-stearoyl-GPE (18:0),NA,NA,NA,NA,NA,NA,1-stearoyl-GPE (18:0),1-stearoyl-GPE (18:0),1-stearoyl-GPE (18:0)
2-stearoyl-GPE (18:0)*#Lipid#Lysophospholipid,2-stearoyl-GPE (18:0)*,Lipid,Lysophospholipid,NA,NA,NA,NA,NA,2-stearoyl-GPE (18:0)*,NA,NA,NA,NA,2-stearoyl-GPE (18:0)*,2-stearoyl-GPE (18:0)*,2-stearoyl-GPE (18:0)*,2-stearoyl-GPE (18:0)*,2-stearoyl-GPE (18:0)*
1-lignoceroyl-GPC (24:0)#Lipid#Lysophospholipid,1-lignoceroyl-GPC (24:0),Lipid,Lysophospholipid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-lignoceroyl-GPC (24:0)
1-oleoyl-sn-glycero-2',3'-cyclic phosphate#Lipid#Lysophospholipid,1-oleoyl-sn-glycero-2',3'-cyclic phosphate,Lipid,Lysophospholipid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-oleoyl-sn-glycero-2',3'-cyclic phosphate
1-(1-enyl-palmitoyl)-GPE (P-16:0)*#Lipid#Lysoplasmalogen,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,Lipid,Lysoplasmalogen,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,NA,NA,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,NA,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,NA,NA,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,1-(1-enyl-palmitoyl)-GPE (P-16:0)*
1-(1-enyl-oleoyl)-GPE (P-18:1)*#Lipid#Lysoplasmalogen,1-(1-enyl-oleoyl)-GPE (P-18:1)*,Lipid,Lysoplasmalogen,NA,NA,NA,1-(1-enyl-oleoyl)-GPE (P-18:1)*,NA,1-(1-enyl-oleoyl)-GPE (P-18:1)*,NA,NA,NA,NA,NA,NA,1-(1-enyl-oleoyl)-GPE (P-18:1)*,1-(1-enyl-oleoyl)-GPE (P-18:1)*,1-(1-enyl-oleoyl)-GPE (P-18:1)*
